"tipo_vivienda","region","area_construccion_m2","nro_habitantes","uso_aire_acondicionado","uso_calefaccion","zona_entorno","nro_electrodomesticos","consumo_kwh_mensual","gasto_usd_mensual"
"departamento","sierra",59.5,1,"no","sí","residencial",6,197,25.84
"condominio","costa",75.1,3,"no","no","residencial",10,123.9,17.9
"departamento","costa",59.7,6,"sí","no","industrial",8,358.6,60.09
"casa","costa",87,3,"no","no","residencial",9,169,21.81
"casa","oriente",130.4,5,"no","no","residencial",13,223,30.67
"condominio","sierra",107.5,4,"no","sí","residencial",10,309.1,38.54
"casa","costa",128.5,6,"sí","no","residencial",10,300.1,36.01
"casa","sierra",142.5,3,"no","no","residencial",9,188.8,23.06
"condominio","costa",99.3,6,"sí","no","residencial",6,302.1,34.3
"departamento","sierra",108.8,6,"no","no","residencial",7,217.6,26.81
"casa","costa",97.4,4,"no","no","comercial",12,142.9,22.16
"casa","sierra",106.3,5,"no","no","residencial",7,221,25.07
"condominio","costa",84.4,6,"sí","no","residencial",11,352.5,41.39
"casa","sierra",112.4,5,"no","sí","residencial",9,344,38.92
"casa","costa",101.9,6,"sí","no","residencial",6,295,33.9
"departamento","sierra",92.9,5,"no","no","residencial",10,213.8,30.92
"casa","sierra",117.4,1,"no","no","residencial",5,120.6,18.5
"casa","costa",142.2,4,"sí","no","residencial",7,326,37.24
"casa","costa",89.5,6,"sí","no","industrial",8,266.5,46.72
"casa","costa",89.4,2,"sí","no","residencial",9,229.9,31.44
"condominio","costa",86.4,6,"sí","no","comercial",11,322.5,45.72
"casa","sierra",102.5,3,"no","no","residencial",9,113.1,13.88
"casa","sierra",89.6,4,"no","no","residencial",9,181.4,25.45
"casa","sierra",127.8,3,"no","no","residencial",4,150.3,24.06
"departamento","costa",93.4,6,"no","no","comercial",9,242.9,33.53
"departamento","costa",106.4,6,"sí","no","residencial",8,347.2,38.68
"departamento","costa",90.2,2,"sí","no","residencial",5,184.2,20.56
"departamento","costa",88.6,2,"sí","no","residencial",5,283.2,30.53
"departamento","sierra",106.1,3,"no","sí","residencial",7,225.7,32
"casa","costa",112.2,5,"no","no","residencial",7,223.6,28.12
"departamento","oriente",82.6,5,"no","no","comercial",6,163.6,24.91
"departamento","sierra",85.8,5,"no","no","industrial",6,203.5,33.74
"departamento","sierra",127.5,6,"no","no","residencial",13,228.1,32.23
"condominio","sierra",108.6,5,"no","sí","residencial",9,289.7,35.53
"casa","costa",104.3,5,"sí","no","residencial",9,282.4,34.3
"casa","sierra",129.3,4,"no","no","industrial",11,187,33.93
"casa","oriente",97.1,3,"no","no","industrial",5,185.1,31.47
"casa","costa",97.7,2,"no","no","residencial",7,141.4,24.08
"casa","costa",144.2,5,"sí","no","residencial",10,292.5,38.39
"departamento","sierra",56.5,5,"sí","no","industrial",8,286.2,50.66
"casa","costa",88.7,3,"no","no","residencial",5,157.2,24.49
"casa","sierra",110.6,4,"no","no","comercial",7,144.4,26.53
"casa","costa",107.3,3,"sí","no","comercial",6,288.8,38.44
"casa","sierra",126.3,3,"no","sí","residencial",8,234.2,32.63
"departamento","sierra",75.2,3,"no","no","comercial",9,157.8,24.65
"departamento","costa",132.9,4,"sí","no","residencial",8,272.1,33.55
"casa","sierra",146.7,7,"sí","no","residencial",9,295.9,35.73
"casa","costa",80.1,2,"sí","no","residencial",2,242.6,30.04
"casa","sierra",126.4,2,"no","sí","residencial",7,196.4,24.82
"casa","costa",111.8,3,"sí","no","comercial",9,302.1,38.62
"casa","costa",135.5,3,"no","no","residencial",6,119.7,19.32
"casa","sierra",99.7,4,"no","no","residencial",9,128.4,20.77
"casa","sierra",109.6,2,"no","sí","industrial",7,218,37.36
"casa","costa",121.4,3,"sí","no","residencial",5,239.2,32.69
"casa","oriente",128.2,5,"no","no","residencial",11,207.1,26.68
"casa","sierra",86.9,4,"sí","sí","residencial",9,359.3,39.48
"casa","oriente",112.1,3,"no","no","residencial",9,121.5,16.87
"departamento","oriente",50,6,"no","no","residencial",8,266.4,29.84
"casa","costa",130.8,4,"sí","no","residencial",11,277.6,32.08
"casa","sierra",106.7,4,"no","no","industrial",7,201.6,38.81
"casa","sierra",147.6,2,"no","sí","residencial",7,248.4,28.49
"departamento","oriente",103.6,5,"no","no","comercial",6,154.7,26.91
"casa","costa",104.4,3,"no","no","residencial",6,150.6,24.7
"casa","costa",127,3,"sí","no","comercial",7,280.2,37.9
"casa","oriente",143.4,5,"no","no","residencial",10,213.1,26.07
"departamento","costa",89.3,5,"sí","no","residencial",8,263.1,30.25
"casa","sierra",97.8,3,"no","sí","residencial",6,196.1,26.47
"departamento","sierra",50,3,"sí","no","comercial",7,275,37.5
"departamento","costa",84.9,5,"sí","no","industrial",5,281.4,50.09
"departamento","sierra",65.6,6,"no","no","comercial",7,228.1,36.8
"departamento","sierra",107.5,2,"no","no","residencial",4,157.8,19.36
"casa","costa",103.6,3,"no","no","industrial",10,165.6,30.94
"casa","costa",133,2,"sí","no","residencial",7,261.4,29.68
"departamento","sierra",98.7,5,"no","sí","comercial",9,290,42.35
"casa","costa",135.9,5,"sí","no","residencial",8,254.6,34.84
"departamento","sierra",50,5,"no","sí","residencial",6,296.8,36.39
"casa","costa",90.5,7,"no","no","comercial",8,203.7,30.05
"departamento","sierra",70.1,5,"no","sí","residencial",10,319.5,41.48
"casa","sierra",140.8,2,"no","sí","residencial",7,171.3,21.24
"casa","sierra",144.8,2,"no","no","residencial",9,160.6,18.44
"casa","sierra",157.2,6,"no","no","residencial",10,250.2,30.6
"casa","costa",101.4,5,"sí","no","residencial",8,268.5,34.11
"casa","costa",106.9,4,"sí","no","comercial",7,233.7,35.46
"condominio","sierra",99.5,3,"no","no","residencial",11,163.5,22.95
"condominio","sierra",124.9,3,"no","no","residencial",7,212.2,27.42
"casa","sierra",81.7,4,"no","no","comercial",8,169.4,28.94
"casa","sierra",95.5,6,"sí","no","residencial",10,332,40.71
"condominio","costa",135,6,"no","no","residencial",9,170.1,24.12
"departamento","costa",95.7,5,"sí","no","residencial",6,305,34.27
"condominio","sierra",57.3,2,"no","no","residencial",7,159.4,18.8
"casa","sierra",141.5,2,"no","no","industrial",8,166.2,31.22
"casa","sierra",127.7,4,"sí","no","residencial",6,246.9,27.82
"departamento","sierra",66,4,"no","no","residencial",10,150.5,23.12
"casa","sierra",119.9,4,"no","no","residencial",6,178.3,22.53
"casa","costa",132.7,6,"no","no","residencial",5,215.4,29.11
"casa","costa",127.1,3,"no","no","industrial",5,170.7,30.22
"condominio","costa",115.9,3,"no","no","residencial",10,197.2,25.33
"departamento","oriente",110.7,4,"no","no","residencial",10,234.5,32.17
"casa","costa",127.8,5,"sí","no","residencial",13,347.6,38.15
"casa","costa",90.4,6,"no","no","residencial",9,202.4,28.96
"departamento","costa",81.2,3,"no","no","residencial",7,145.3,18.5
"casa","sierra",72.5,3,"no","sí","residencial",10,194.3,24.37
"casa","costa",115.1,4,"no","no","residencial",10,172.3,20.85
"casa","costa",104,2,"sí","no","comercial",3,247.8,33.18
"casa","oriente",101.5,4,"no","no","residencial",8,177,22.97
"casa","costa",107.7,5,"sí","no","industrial",8,317.7,57.03
"casa","sierra",197,4,"sí","no","residencial",5,295.1,33.07
"casa","sierra",100,4,"sí","no","residencial",7,302.6,39.85
"departamento","costa",61.8,4,"sí","no","residencial",6,332.3,39.25
"casa","costa",112.4,7,"no","no","residencial",10,259.8,32.16
"departamento","costa",72.3,4,"no","no","residencial",10,174.4,26
"casa","sierra",188,1,"no","no","residencial",5,100.2,14.09
"casa","sierra",119.5,4,"sí","no","comercial",8,327.6,45.97
"departamento","sierra",77,4,"no","sí","industrial",7,254.7,42.26
"condominio","oriente",90.6,1,"sí","no","residencial",6,257.9,32.85
"casa","costa",142.5,4,"no","no","comercial",11,186.1,29.47
"condominio","costa",95.8,4,"sí","no","industrial",7,254.7,45.06
"departamento","sierra",89.4,2,"no","no","residencial",7,169.3,24.56
"departamento","costa",82.2,7,"no","no","residencial",9,176.1,20.25
"casa","costa",88.8,5,"sí","no","residencial",9,298.5,39.82
"casa","costa",103.8,4,"sí","no","residencial",13,245.2,33.64
"casa","sierra",120,4,"sí","no","residencial",6,302.6,36.72
"casa","sierra",144.1,2,"sí","sí","comercial",5,297.9,44.71
"departamento","costa",86.2,1,"sí","no","residencial",6,211.6,28.72
"condominio","costa",102.6,2,"no","no","comercial",5,158.5,21.93
"departamento","costa",63.9,4,"no","no","residencial",8,135.9,16.5
"casa","oriente",138.5,4,"no","no","residencial",5,121.3,21.1
"casa","costa",138.9,3,"sí","no","residencial",8,268.2,34.15
"casa","sierra",113.6,3,"no","sí","comercial",4,212.1,29.87
"casa","oriente",135.4,3,"no","no","residencial",6,175.5,23.15
"casa","sierra",115.2,3,"no","no","residencial",7,170.6,19.8
"casa","costa",124.3,3,"sí","no","residencial",5,263.8,35.7
"departamento","oriente",96.5,1,"no","no","industrial",7,86.9,15.44
"casa","sierra",131.3,3,"no","no","comercial",5,201,28.89
"departamento","costa",65,4,"no","no","industrial",8,119.5,26.99
"casa","sierra",127.6,2,"no","no","residencial",8,172,19.68
"departamento","sierra",69.5,5,"no","no","residencial",7,155.6,22.1
"casa","costa",116.2,7,"sí","no","industrial",8,287.5,48.04
"departamento","oriente",62,6,"no","no","residencial",11,235.8,26.55
"casa","costa",119.5,7,"no","no","residencial",8,219.4,25.48
"departamento","costa",97.4,3,"sí","no","residencial",10,252.9,30.15
"casa","costa",113.8,4,"no","no","residencial",6,133.2,21.04
"condominio","costa",114.4,6,"no","no","residencial",6,209.5,23.05
"condominio","sierra",97.9,3,"no","sí","residencial",9,273,33.61
"departamento","sierra",91.2,4,"no","no","residencial",8,184.5,24.7
"casa","costa",88.9,1,"sí","no","comercial",7,238.6,35.25
"casa","costa",134.2,4,"sí","no","residencial",5,279.1,37.01
"casa","oriente",107,7,"sí","no","residencial",12,346.6,44.05
"casa","sierra",111.2,3,"no","no","residencial",8,151.9,23.28
"casa","sierra",125.2,4,"no","no","industrial",8,156.7,31.56
"departamento","costa",89.8,3,"no","no","residencial",6,197.2,26.06
"casa","sierra",110.1,1,"no","sí","comercial",2,231.7,32.09
"casa","sierra",99.4,4,"no","no","residencial",6,195.6,25.34
"casa","oriente",106.1,4,"sí","no","comercial",7,229.9,33.43
"departamento","costa",54.7,6,"no","no","residencial",10,234.2,31.15
"condominio","costa",122.5,3,"sí","no","residencial",6,283.1,33.47
"departamento","sierra",87.6,1,"no","no","comercial",9,128.8,24.93
"departamento","sierra",79.8,2,"no","no","residencial",7,86.7,18.11
"condominio","costa",79.3,3,"sí","no","residencial",8,298.3,37.56
"casa","sierra",137.2,3,"no","sí","residencial",9,240.8,33.58
"casa","costa",123.8,6,"sí","no","comercial",10,326.2,43.83
"casa","oriente",85.5,4,"no","no","residencial",8,190.4,22.32
"casa","sierra",112.2,4,"no","no","residencial",10,167,24.81
"casa","sierra",113.6,4,"sí","sí","comercial",9,396.2,50.19
"casa","sierra",113.5,3,"no","no","residencial",7,232.4,26.6
"departamento","sierra",80.6,5,"no","no","residencial",13,264.6,35.89
"casa","sierra",127.8,2,"no","sí","residencial",9,249.1,30.04
"casa","costa",143.9,4,"sí","no","residencial",8,223.1,27.93
"casa","sierra",117.7,4,"no","no","residencial",9,115.1,19.7
"departamento","sierra",67.4,5,"no","sí","industrial",11,301.3,47.59
"departamento","costa",56.3,4,"sí","no","comercial",7,277.6,38.24
"condominio","sierra",106.7,4,"no","no","residencial",10,178.7,24.67
"casa","costa",111.4,5,"sí","no","residencial",10,315.5,37.1
"casa","sierra",132.2,3,"no","sí","residencial",6,245.9,28.12
"departamento","oriente",62.6,4,"no","no","industrial",5,166.9,34.23
"departamento","sierra",74.1,3,"no","no","comercial",10,187.7,26.26
"casa","sierra",94.8,6,"no","sí","industrial",14,380.2,62
"casa","costa",131.1,6,"sí","no","residencial",12,301.8,36.69
"casa","costa",115.9,4,"sí","no","comercial",8,253.7,40.17
"casa","costa",175.9,3,"no","no","comercial",8,120.7,17.03
"casa","costa",111.2,5,"sí","no","residencial",14,317.8,41.25
"casa","sierra",103.7,3,"sí","sí","residencial",11,369,43.99
"casa","costa",159.3,3,"sí","no","comercial",8,276.8,40.19
"casa","sierra",158.6,6,"sí","no","residencial",9,322.4,35.85
"departamento","costa",110.7,5,"no","no","residencial",11,126,18.23
"casa","costa",126.4,3,"no","no","residencial",10,180.1,25.22
"casa","sierra",134.7,3,"sí","no","residencial",8,233.4,27.84
"casa","costa",138.5,5,"sí","no","residencial",6,235.1,32.93
"departamento","sierra",102.5,4,"no","no","industrial",7,198.3,35.4
"departamento","costa",66.7,6,"sí","no","residencial",3,312,35.6
"departamento","costa",64.2,3,"no","no","residencial",7,173.6,26.74
"condominio","costa",121.8,4,"sí","no","residencial",7,280.6,36.89
"casa","oriente",96.5,2,"no","no","residencial",7,123.8,22.21
"casa","costa",127.8,5,"sí","no","residencial",5,313.6,34.78
"departamento","sierra",65.3,7,"no","no","residencial",6,300.7,35.2
"departamento","costa",121,3,"no","no","residencial",9,186.8,22.1
"casa","costa",139.5,6,"no","no","residencial",8,189.5,22.69
"departamento","costa",90.6,5,"sí","no","residencial",10,321.5,38.21
"departamento","sierra",83.9,5,"no","no","residencial",10,189.5,25.47
"departamento","sierra",63.8,3,"sí","sí","residencial",11,342.2,39.05
"casa","costa",110.4,3,"no","no","residencial",6,146.1,22.39
"casa","costa",122,7,"sí","no","residencial",10,310.4,33.86
"casa","sierra",124.5,3,"sí","no","residencial",13,301.8,32.84
"casa","costa",126.5,6,"sí","no","residencial",10,350.1,38.47
"casa","sierra",68,5,"no","no","residencial",12,224.5,25.43
"casa","costa",127.1,3,"sí","no","industrial",10,294.5,53.82
"casa","costa",131.7,2,"sí","no","comercial",5,235.6,33.89
"departamento","oriente",102,4,"no","no","residencial",9,184.3,23.09
"casa","costa",151.3,4,"no","no","residencial",5,188.5,27.45
"casa","sierra",137.5,7,"no","no","residencial",13,215.1,23.67
"departamento","costa",100.3,2,"sí","no","residencial",7,285.1,35.99
"departamento","sierra",71.6,3,"no","no","residencial",6,139.7,21.1
"casa","costa",109.1,2,"sí","no","residencial",6,223.5,29.63
"casa","sierra",102.7,4,"no","no","comercial",12,202.8,27.84
"departamento","costa",112.7,7,"no","no","comercial",10,217.4,33.28
"departamento","costa",50,2,"no","no","residencial",11,147.4,17.19
"casa","costa",125.1,3,"sí","no","residencial",6,235.2,28.49
"casa","sierra",120.8,2,"sí","sí","residencial",9,344.9,40.36
"departamento","costa",88.9,4,"sí","no","comercial",6,313.6,47.36
"casa","costa",136.8,3,"sí","no","residencial",7,243.1,26.42
"casa","costa",92.8,4,"no","no","residencial",11,141.6,22.41
"condominio","sierra",116,6,"no","no","residencial",10,208,22.86
"casa","costa",128,2,"sí","no","residencial",8,263,36.13
"casa","oriente",118.7,4,"no","no","comercial",11,179.2,24.3
"condominio","costa",91,2,"sí","no","comercial",10,239.3,33.93
"departamento","sierra",87.8,2,"no","sí","residencial",8,272,36.21
"casa","costa",104.9,3,"no","no","residencial",8,153.3,22.53
"departamento","sierra",88,4,"no","sí","industrial",7,266.8,43.3
"departamento","costa",80.2,4,"sí","no","residencial",8,266.9,33.01
"casa","costa",86.9,2,"no","no","residencial",6,184.3,23.48
"casa","costa",154.7,4,"no","no","comercial",5,167.2,22.8
"departamento","costa",121.8,2,"sí","no","residencial",6,244.6,30.91
"departamento","oriente",101.3,3,"no","no","residencial",6,113.5,15.78
"departamento","oriente",71.7,4,"no","no","residencial",8,157.8,19.57
"condominio","costa",88.2,3,"sí","no","residencial",6,305.9,40.53
"casa","costa",141.8,3,"sí","no","residencial",5,278.5,34.29
"casa","sierra",138.8,6,"sí","no","comercial",8,352,50.73
"casa","sierra",141.9,5,"no","no","comercial",9,201.1,26.36
"casa","costa",114.7,1,"sí","no","residencial",6,206.9,24.31
"casa","sierra",143,6,"no","sí","residencial",6,271.3,33.42
"casa","costa",155.7,3,"sí","no","residencial",9,305.7,38
"condominio","sierra",103.3,5,"no","no","residencial",7,211.7,25.44
"casa","costa",123.7,5,"sí","no","comercial",4,252.4,36.19
"casa","sierra",120.7,3,"sí","no","residencial",7,273.6,35.25
"departamento","costa",56.4,2,"no","no","residencial",7,154.7,17.68
"casa","costa",96.8,1,"sí","no","residencial",6,224.1,26.44
"condominio","sierra",88.3,4,"no","no","residencial",2,145.6,16.69
"casa","costa",129.3,3,"sí","no","comercial",6,259.6,36.53
"casa","oriente",125.3,2,"sí","no","residencial",2,253.2,32.73
"departamento","costa",104.4,4,"no","no","industrial",6,204,39.08
"condominio","sierra",82.2,3,"no","sí","comercial",8,243.2,38.53
"departamento","costa",77.8,3,"sí","no","residencial",10,302,33.11
"casa","sierra",110.5,6,"no","no","comercial",10,199.2,33.54
"casa","sierra",124,7,"sí","no","residencial",8,278.2,32.12
"departamento","costa",92.5,2,"no","no","residencial",8,131.4,22.73
"casa","sierra",153.8,3,"no","no","residencial",8,119.2,16.2
"casa","sierra",153.3,5,"no","sí","residencial",9,312.9,34.55
"departamento","oriente",117.1,5,"no","no","industrial",6,207.2,33.41
"casa","sierra",132.5,6,"no","no","residencial",7,197.4,24.93
"casa","sierra",156.1,7,"no","no","residencial",9,263.6,34.52
"departamento","costa",57.9,1,"sí","no","residencial",7,242.4,28.46
"casa","costa",123,3,"sí","no","residencial",9,290.6,31.55
"casa","costa",149,4,"no","no","residencial",3,180.9,24.19
"casa","sierra",114.1,3,"no","no","residencial",8,150.7,23.91
"casa","costa",129.5,2,"sí","no","residencial",6,263,33.19
"casa","sierra",135.2,3,"no","sí","residencial",6,239.8,26.76
"casa","costa",115.8,4,"no","no","residencial",7,158.6,25.24
"departamento","costa",105,1,"sí","no","residencial",6,261.8,35.99
"casa","sierra",130.9,4,"sí","sí","residencial",8,427.2,45.37
"casa","costa",104.2,4,"sí","no","residencial",8,324.9,41.11
"condominio","costa",123.6,4,"sí","no","residencial",11,265.2,35.91
"departamento","sierra",55.3,2,"no","no","industrial",7,140.3,28.74
"casa","sierra",138.9,5,"sí","no","residencial",9,315.6,36.83
"casa","sierra",104,6,"no","no","residencial",8,276.7,35.86
"condominio","oriente",112.2,7,"no","no","industrial",12,206.2,40.07
"casa","costa",128.8,4,"sí","no","industrial",6,285.9,51.91
"departamento","oriente",103.5,4,"no","no","residencial",8,205.4,25.99
"casa","sierra",128.3,5,"sí","sí","comercial",7,405.4,53.02
"departamento","costa",97,2,"sí","no","residencial",9,323.4,36.07
"casa","costa",105.8,6,"sí","no","residencial",10,318.3,34.8
"condominio","costa",98.2,3,"sí","no","residencial",12,259.9,34.68
"casa","sierra",141.2,3,"no","no","residencial",6,141.8,17.84
"casa","costa",103.2,2,"sí","no","residencial",9,246.7,28.12
"casa","costa",99.6,4,"sí","no","residencial",7,231.9,25.19
"casa","costa",116.8,3,"sí","no","residencial",6,207.6,27.21
"condominio","costa",97.6,3,"sí","no","residencial",6,235.6,27.03
"casa","sierra",120,5,"no","sí","residencial",7,253.9,29.86
"departamento","sierra",126.4,2,"no","sí","residencial",6,189.3,23.27
"departamento","costa",50,5,"no","no","comercial",9,209.7,32.99
"casa","costa",101.6,3,"no","no","comercial",5,109.9,18.42
"casa","costa",103.5,1,"no","no","residencial",8,103.7,15.33
"casa","costa",148.9,5,"sí","no","residencial",7,273.8,34.09
"casa","sierra",145,6,"no","sí","comercial",11,356.2,45.04
"casa","costa",101.3,3,"sí","no","residencial",7,261.5,31.11
"condominio","sierra",78.6,4,"no","no","residencial",8,210.6,25.57
"condominio","costa",93.4,3,"sí","no","residencial",11,250,28.69
"casa","sierra",80.1,4,"no","no","residencial",10,196.1,23.33
"condominio","sierra",109.9,7,"no","sí","residencial",11,265.5,33.69
"casa","costa",118.4,3,"no","no","residencial",5,205.3,23.69
"casa","oriente",85.7,4,"no","no","residencial",11,213.4,30.26
"casa","costa",115.2,3,"sí","no","residencial",9,213.5,26.87
"departamento","costa",79.1,2,"no","no","comercial",5,181.7,30.86
"casa","sierra",136.7,2,"no","sí","residencial",5,259,35.08
"casa","costa",118.9,3,"no","no","residencial",10,176,25
"departamento","sierra",65.7,4,"no","no","comercial",11,157.8,21.22
"casa","sierra",107.2,3,"no","no","comercial",8,171.5,29.83
"departamento","oriente",107,4,"sí","no","residencial",9,286.3,35.77
"casa","oriente",113.9,3,"no","no","industrial",11,240.7,40.51
"casa","costa",126,1,"sí","no","residencial",3,212.9,30.2
"casa","sierra",128.1,4,"sí","sí","industrial",8,313,55.77
"casa","costa",128.9,6,"sí","no","residencial",9,326.9,42.48
"condominio","costa",70,3,"no","no","residencial",8,187.9,23.69
"casa","sierra",133.7,4,"no","no","comercial",7,199.7,30.02
"casa","costa",143.8,3,"sí","no","comercial",9,303.9,42.05
